"api_name","category"
"c2g__codaBatchControl__ChangeEvent","standard"
"c2g__codaBatchControl__Share","standard"
"c2g__codaBatchControlDetail__c","custom"
"c2g__codaBatchControlDetail__ChangeEvent","standard"
"c2g__codaBudget__c","custom"
"c2g__codaBudget__ChangeEvent","standard"
"c2g__codaBudget__History","standard"
"c2g__codaBudget__Share","standard"
"c2g__codaCashEntry__c","custom"
"c2g__codaCashEntry__ChangeEvent","standard"
"c2g__codaCashEntry__History","standard"
"c2g__codaCashEntry__Share","standard"
"c2g__codaCashEntryLineItem__c","custom"
"c2g__codaCashEntryLineItem__ChangeEvent","standard"
"c2g__codaCashMatchingHistory__c","custom"
"c2g__codaCashMatchingHistory__ChangeEvent","standard"
"c2g__codaCashMatchingHistory__History","standard"
"c2g__codaCashMatchingHistory__Share","standard"
"c2g__codaCashMatchingSettings__c","custom"
"c2g__codaCashMatchingSettings__ChangeEvent","standard"
"c2g__codaCheckNumber__c","custom"
"c2g__codaCheckNumber__ChangeEvent","standard"
"c2g__codaCheckRange__c","custom"
"c2g__codaCheckRange__ChangeEvent","standard"
"c2g__codaCheckRange__History","standard"
"c2g__codaColumnProperty__c","custom"
"c2g__codaColumnProperty__ChangeEvent","standard"
"c2g__codaColumnProperty__Share","standard"
"c2g__codaCompany__c","custom"
"c2g__codaCompany__ChangeEvent","standard"
"c2g__codaCompany__History","standard"
"c2g__codaCompany__Share","standard"
"c2g__codaCreditNote__c","custom"
"c2g__codaCreditNote__ChangeEvent","standard"
"c2g__codaCreditNote__History","standard"
"c2g__codaCreditNote__Share","standard"
"c2g__codaCreditNoteLineItem__c","custom"
"c2g__codaCreditNoteLineItem__ChangeEvent","standard"
"c2g__codaCreditNoteLineItem__History","standard"
"c2g__codaCurrencyRevalBatch__c","custom"
"c2g__codaCurrencyRevalBatch__ChangeEvent","standard"
"c2g__codaCurrencyRevalBatch__Share","standard"
"c2g__codaCurrencyRevalBatchLineItem__c","custom"
"c2g__codaCurrencyRevalBatchLineItem__ChangeEvent","standard"
"c2g__codaCurrencyRevaluation__c","custom"
"c2g__codaCurrencyRevaluation__ChangeEvent","standard"
"c2g__codaCurrencyRevaluation__Share","standard"
"c2g__codaCurrencyRevaluationGLAItem__c","custom"
"c2g__codaCurrencyRevaluationGLAItem__ChangeEvent","standard"
"c2g__codaCurrencyRevaluationGroup__c","custom"
"c2g__codaCurrencyRevaluationGroup__ChangeEvent","standard"
"c2g__codaCurrencyRevaluationGroup__Share","standard"
"c2g__codaCurrencyRevaluationLineItem__c","custom"
"c2g__codaCurrencyRevaluationLineItem__ChangeEvent","standard"
"c2g__codaCurrencyRevaluationSummary__c","custom"
"c2g__codaCurrencyRevaluationSummary__ChangeEvent","standard"
"c2g__codaDataProperty__c","custom"
"c2g__codaDataProperty__ChangeEvent","standard"
"c2g__codaDataProperty__Share","standard"
"c2g__codaDimension1__c","custom"
"c2g__codaDimension1__ChangeEvent","standard"
"c2g__codaDimension1__History","standard"
"c2g__codaDimension1__Share","standard"
"c2g__codaDimension2__c","custom"
"c2g__codaDimension2__ChangeEvent","standard"
"c2g__codaDimension2__History","standard"
"c2g__codaDimension2__Share","standard"
"c2g__codaDimension3__c","custom"
"c2g__codaDimension3__ChangeEvent","standard"
"c2g__codaDimension3__History","standard"
"c2g__codaDimension3__Share","standard"
"c2g__codaDimension4__c","custom"
"c2g__codaDimension4__ChangeEvent","standard"
"c2g__codaDimension4__History","standard"
"c2g__codaDimension4__Share","standard"
"c2g__codaEventLog__c","custom"
"c2g__codaEventLog__ChangeEvent","standard"
"c2g__codaEventLog__History","standard"
"c2g__codaEventLog__Share","standard"
"c2g__codaExchangeRate__c","custom"
"c2g__codaExchangeRate__ChangeEvent","standard"
"c2g__codaExchangeRate__History","standard"
"c2g__codaFinanceCorrespondence__c","custom"
"c2g__codaFinanceCorrespondence__ChangeEvent","standard"
"c2g__codaFinanceCorrespondence__Share","standard"
"c2g__codaFormatData__c","custom"
"c2g__codaFormatData__ChangeEvent","standard"
"c2g__codaFormatData__Share","standard"
"c2g__codaGeneralLedgerAccount__c","custom"
"c2g__codaGeneralLedgerAccount__ChangeEvent","standard"
"c2g__codaGeneralLedgerAccount__History","standard"
"c2g__codaGeneralLedgerAccount__Share","standard"
"c2g__codaGroupingReference__c","custom"
"c2g__codaGroupingReference__ChangeEvent","standard"
"c2g__codaGroupingReference__Share","standard"
"c2g__codaIncomeScheduleDefinition__c","custom"
"c2g__codaIncomeScheduleDefinition__ChangeEvent","standard"
"c2g__codaIncomeScheduleDefinition__Share","standard"
"c2g__codaIncScheduleStagingJnl__c","custom"
"c2g__codaIncScheduleStagingJnl__ChangeEvent","standard"
"c2g__codaIncScheduleStagingJnl__Share","standard"
"c2g__codaIncScheduleStagingJnlLineItem__c","custom"
"c2g__codaIncScheduleStagingJnlLineItem__ChangeEvent","standard"
"c2g__codaIntegrationRule__c","custom"
"c2g__codaIntegrationRule__ChangeEvent","standard"
"c2g__codaIntegrationRule__Share","standard"
"c2g__codaIntegrationRuleLineItem__c","custom"
"c2g__codaIntegrationRuleLineItem__ChangeEvent","standard"
"c2g__codaIntercompanyDefinition__c","custom"
"c2g__codaIntercompanyDefinition__ChangeEvent","standard"
"c2g__codaIntercompanyDefinition__Share","standard"
"c2g__codaIntercompanyTransfer__c","custom"
